Damage over distance
Distance;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;;RPM
C75 Auto;583;583;583;583;583;583;583;583;583;583;583;583;583;583;583;583;583;583;567;550;533;500;483;467;450;433;400;383;383;383;383;383;383;383;383;383;383;383;383;383;383;;1000
SMG-11;741;741;741;741;741;741;741;741;741;741;741;741;741;741;741;741;741;741;720;698;677;656;614;593;572;550;529;487;487;487;487;487;487;487;487;487;487;487;487;487;487;;1270
SMG-12;593;593;593;593;593;593;593;593;593;593;593;593;593;593;593;593;593;593;572;572;550;550;529;508;508;487;466;466;466;466;466;466;466;466;466;466;466;466;466;466;466;;1270
SPSMG9;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;523;506;490;474;457;441;425;408;392;359;359;359;359;359;359;359;359;359;359;359;359;359;359;;980
.44 Mag Semi-Auto;432;432;432;432;432;432;432;432;432;432;432;432;424;424;416;408;408;400;400;392;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;;480
1911 TACOPS;440;440;440;440;440;440;440;440;440;440;440;440;432;432;424;416;408;408;400;392;392;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;;480
5.7 USG;336;336;336;336;336;336;336;336;336;336;336;336;328;320;304;288;272;264;248;232;224;208;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;;480
D-50;568;568;568;568;568;568;568;568;568;568;568;568;560;528;504;472;448;416;384;360;328;304;280;280;280;280;280;280;280;280;280;280;280;280;280;280;280;280;280;280;280;;480
GSH-18;352;352;352;352;352;352;352;352;352;352;352;352;344;328;312;296;280;264;248;232;216;200;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;;480
KERATOS .357;624;624;624;624;624;624;624;624;624;624;624;624;616;608;600;584;576;568;552;544;536;528;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;;480
LFP586;624;624;624;624;624;624;624;624;624;624;624;624;616;576;544;512;472;440;400;368;328;296;272;272;272;272;272;272;272;272;272;272;272;272;272;272;272;272;272;272;272;;480
LUISON;477;477;477;477;477;477;477;477;477;477;477;477;469;447;433;418;403;381;367;352;337;315;301;286;271;249;235;220;205;191;169;154;139;117;103;95;95;95;95;95;95;;440
M45 MEUSOC;464;464;464;464;464;464;464;464;464;464;464;464;456;440;416;400;384;360;336;320;296;280;264;264;264;264;264;264;264;264;264;264;264;264;264;264;264;264;264;264;264;;480
MK1 9mm;384;384;384;384;384;384;384;384;384;384;384;384;376;360;344;328;312;296;280;256;240;224;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;;480
P-10C;320;320;320;320;320;320;320;320;320;320;320;320;312;304;288;280;264;256;240;232;216;208;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;;480
P12;352;352;352;352;352;352;352;352;352;352;352;352;344;328;312;296;280;264;248;232;216;200;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;;480
P226 MK 25;400;400;400;400;400;400;400;400;400;400;400;400;392;376;360;344;328;312;296;280;264;248;240;240;240;240;240;240;240;240;240;240;240;240;240;240;240;240;240;240;240;;480
P229;408;408;408;408;408;408;408;408;408;408;408;408;400;384;360;344;320;304;288;272;248;232;224;224;224;224;224;224;224;224;224;224;224;224;224;224;224;224;224;224;224;;480
P9;360;360;360;360;360;360;360;360;360;360;360;360;352;336;328;312;296;280;272;256;240;224;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;;480
PMM;488;488;488;488;488;488;488;488;488;488;488;488;488;464;440;416;376;360;336;312;280;256;232;232;232;232;232;232;232;232;232;232;232;232;232;232;232;232;232;232;232;;480
PRB92;336;336;336;336;336;336;336;336;336;336;336;336;328;320;304;288;272;264;248;232;224;208;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;;480
Q-929;480;480;480;480;480;480;480;480;480;480;480;480;472;448;424;392;368;352;320;304;280;248;240;240;240;240;240;240;240;240;240;240;240;240;240;240;240;240;240;240;240;;480
RG15;304;304;304;304;304;304;304;304;304;304;304;304;296;280;272;256;248;232;216;208;192;184;176;176;176;176;176;176;176;176;176;176;176;176;176;176;176;176;176;176;176;;480
SDP 9mm;376;376;376;376;376;376;376;376;376;376;376;376;368;352;328;312;296;280;264;240;224;208;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;;480
USP40;384;384;384;384;384;384;384;384;384;384;384;384;376;360;336;320;296;280;264;248;224;208;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;;480
Bailiff 410;0;0;0;0;0;217;200;183;158;150;142;133;125;125;125;117;117;108;108;108;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;;500
FO-12;0;0;0;0;0;167;160;147;133;120;113;107;100;93;87;80;73;67;67;60;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;;400
ITA12L;0;0;0;0;0;51;45;45;44;43;41;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;;80
ITA12S;0;0;0;0;0;39;25;25;24;23;21;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;;80
M1014;0;0;0;0;0;115;111;108;108;104;100;97;93;86;82;75;72;68;61;57;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;;215
M590A1;0;0;0;0;0;68;68;64;57;47;40;33;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;;85
M870;0;0;0;0;0;82;73;67;60;53;45;38;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;;100
SASG-12;0;0;0;0;0;210;193;181;170;153;142;125;113;102;85;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;;340
SG-CQB;0;0;0;0;0;74;68;61;52;45;38;38;37;37;35;35;34;34;33;33;31;31;30;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;;85
SIX12 SD;0;0;0;0;0;128;128;117;103;95;88;88;88;88;88;88;88;88;84;62;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;;220
SIX12;0;0;0;0;0;128;125;114;106;95;88;88;88;88;88;88;88;88;84;62;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;;220
SKELETON KEY;0;0;0;0;0;136;125;114;106;99;88;81;70;62;55;55;55;55;55;55;51;48;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;;220
SPAS-12;0;0;0;0;0;114;106;106;103;103;99;95;95;92;88;88;84;81;77;73;70;55;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;;220
SPAS-15;0;0;0;0;0;150;145;140;135;130;120;115;110;105;95;95;90;85;85;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;;300
SUPER 90;0;0;0;0;0;121;117;114;110;106;103;99;95;88;81;77;70;62;59;51;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;;220
SUPER SHORTY;0;0;0;0;0;58;57;52;47;40;35;30;25;25;25;25;25;25;25;23;23;23;22;22;20;20;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;;100
SUPERNOVA;78;78;78;78;78;78;78;78;78;69;62;55;50;42;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;;85
9mm C1;345;345;345;345;345;345;345;345;345;345;345;345;345;345;345;345;345;345;335;326;307;297;278;268;249;240;220;211;201;201;201;201;201;201;201;201;201;201;201;201;201;;575
9x19VSN;425;425;425;425;425;425;425;425;425;425;425;425;425;425;425;425;425;425;412;400;375;362;350;325;312;288;275;262;250;250;250;250;250;250;250;250;250;250;250;250;250;;750
AUG A3;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;408;397;373;362;338;327;315;292;280;257;245;245;245;245;245;245;245;245;245;245;245;245;245;;700
FMG-9;453;453;453;453;453;453;453;453;453;453;453;453;453;453;453;453;453;453;440;427;400;387;373;347;333;320;293;280;267;267;267;267;267;267;267;267;267;267;267;267;267;;800
K1A;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;420;408;384;372;348;336;324;300;288;264;252;252;252;252;252;252;252;252;252;252;252;252;252;;720
M12;367;367;367;367;367;367;367;367;367;367;367;367;367;367;367;367;367;367;358;339;330;312;302;284;266;257;238;229;220;220;220;220;220;220;220;220;220;220;220;220;220;;550
MP5;360;360;360;360;360;360;360;360;360;360;360;360;360;360;360;360;360;360;347;333;320;307;293;280;267;253;227;213;213;213;213;213;213;213;213;213;213;213;213;213;213;;800
MP5K;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;387;373;360;333;320;307;293;280;267;240;240;240;240;240;240;240;240;240;240;240;240;240;240;;800
MP5SD;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;387;373;360;347;320;307;293;280;267;253;240;240;240;240;240;240;240;240;240;240;240;240;240;;800
MP7;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;465;450;435;405;390;375;345;330;315;300;285;285;285;285;285;285;285;285;285;285;285;285;285;;900
MPX;360;360;360;360;360;360;360;360;360;360;360;360;360;360;360;360;360;360;346;332;318;304;290;277;263;249;235;221;208;208;208;208;208;208;208;208;208;208;208;208;208;;830
Mx4 Storm;412;412;412;412;412;412;412;412;412;412;412;412;412;412;412;412;412;412;396;380;364;348;332;317;301;285;269;253;238;238;238;238;238;238;238;238;238;238;238;238;238;;950
P10 RONI;425;425;425;425;425;425;425;425;425;425;425;425;425;425;425;425;425;425;408;392;376;359;343;327;310;294;278;261;245;245;245;245;245;245;245;245;245;245;245;245;245;;980
P90;356;356;356;356;356;356;356;356;356;356;356;356;356;356;356;356;356;356;340;323;307;307;291;275;259;243;226;210;210;210;210;210;210;210;210;210;210;210;210;210;210;;970
PDW9;453;453;453;453;453;453;453;453;453;453;453;453;453;453;453;453;453;453;440;427;400;387;373;347;333;320;293;280;267;267;267;267;267;267;267;267;267;267;267;267;267;;800
SCORPION EVO 3 A1;414;414;414;414;414;414;414;414;414;414;414;414;414;414;414;414;414;414;396;378;360;360;342;324;306;288;270;252;234;234;234;234;234;234;234;234;234;234;234;234;234;;1080
T-5 SMG;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;405;390;375;360;345;330;315;285;270;255;240;240;240;240;240;240;240;240;240;240;240;240;240;;900
UMP45;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;370;360;340;330;310;300;280;270;250;240;220;220;220;220;220;220;220;220;220;220;220;220;220;;600
UZK50GI;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;408;397;373;362;338;327;315;292;280;257;245;245;245;245;245;245;245;245;245;245;245;245;245;;700
VECTOR .45 ACP;460;460;460;460;460;460;460;460;460;460;460;460;460;460;460;460;460;460;440;440;420;400;380;360;340;320;300;280;260;260;260;260;260;260;260;260;260;260;260;260;260;;1200
